country,year,party_id,party,vote,epvote,family,eu_position,eu_intmark,eu_foreign,lrgen,lrecon,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,environment,regions,ethnic_minorities,nationalism
1,2024,102,PS,8.04,7.4299998,5,5.7777777,3.5,5.0,2.5555556,2.4444444,2.2,3.3333333,2.4285715,2.6666667,2.0,4.25,3.2222223,3.1111112,3.0,5.5,2.3333333,3.75
1,2024,103,Vooruit,8.11,7.9899998,5,6.0999999,4.5,5.0,4.3000002,4.0999999,3.1666667,4.0,3.5,3.3333333,1.46428575,4.4000001,5.0,5.1111112,3.2,5.5,5.0,3.75
1,2024,104,Ecolo,2.93,3.6400001,7,5.8888888,5.0,5.5,2.4444444,2.4444444,2.2,3.6666667,2.7142856,1.3333334,1.16666665,5.75,2.4444444,2.4285715,1.0,6.75,1.75,1.75
1,2024,105,Groen,4.65,6.3200002,7,5.9000001,5.0,5.5,2.5,2.7,2.3333333,3.6666667,2.5,1.6666666,1.0,5.4000001,2.5999999,2.5555556,1.0,6.25,2.25,1.75
1,2024,106,MR,10.26,12.62,3,6.4444447,7.0,5.0,7.4444447,8.0,8.3999996,8.0,7.8571429,6.0,2.9000001,1.5,6.5,7.25,7.4000001,6.25,6.75,4.0
1,2024,107,Open Vld,5.45,5.7600002,3,6.6999998,7.0,5.5,6.3333335,7.0,7.6666665,7.3333335,6.625,4.6666665,1.46428575,1.2,5.5999999,5.7777777,6.0,5.25,5.0,2.75
1,2024,108,LE,6.77,5.1700001,4,6.4285712,6.0,5.5,5.5555553,5.3333335,4.5999999,4.3333335,4.8571429,5.0,3.0,5.75,4.625,5.5714288,5.8000002,5.3333335,5.6666665,4.6666665
1,2024,109,CD&V,7.98,8.3400002,4,6.6999998,6.0,5.5,5.6999998,5.5999999,5.0,4.6666665,5.0,5.0,3.5,6.5999999,5.5,5.6666665,6.4000001,4.0,5.75,5.25
1,2024,110,N-VA,16.71,13.97,8,4.5,6.0,4.0,7.5,7.5,8.5,6.3333335,6.875,8.0,3.57142855,3.0,8.1999998,7.7777777,6.8000002,0.5,8.0,7.5
1,2024,111,DeFl,1.2,1.05,8,6.0,,5.5,6.0,5.5,5.5,5.0,4.5,2.0,1.5,6.0,4.5,5.3333335,5.0,3.5,5.0,3.0
1,2024,112,VB,13.77,14.5,1,2.0,2.5,2.0,9.1999998,7.0,6.0,5.5,5.25,9.333333,6.5357144,3.4000001,9.8999996,9.8888893,8.0,1.25,9.75,9.25
1,2024,119,PVDA-PTB,9.86,5.1300001,6,2.4444444,2.0,1.5,0.80000001,0.80000001,1.0,1.6666666,0.625,2.0,2.53571425,5.75,2.7777777,2.5,5.0,8.0,2.0,4.75
2,2024,201,S,27.54,15.57,5,5.818182,5.0,4.3333335,4.0,4.090909,3.5,3.75,3.5999999,7.0,3.54999995,1.3333334,7.2727275,7.7777777,3.5999999,5.0,6.0,7.0
2,2024,202,RV,3.79,7.0799999,3,7.0,6.25,6.0,4.909091,5.5454545,5.6666665,5.25,5.5,4.5,1.86666665,1.0,3.0,3.2222223,1.8,5.75,3.0,2.0
2,2024,203,DKF,5.51,8.8400002,2,5.5454545,6.25,4.3333335,7.0,7.0,7.0,5.75,7.0,7.25,5.3833332,2.0,7.181818,7.3333335,5.1999998,5.75,6.0,7.3333335
2,2024,206,SF,8.29,17.42,7,5.5454545,4.25,4.6666665,2.7272727,2.7272727,2.1666667,2.5,2.5,5.25,2.0,1.0,4.6363635,4.7777777,2.2,5.5,3.5,5.5
2,2024,211,V,13.31,14.72,3,6.0,6.0,5.0,6.6363635,6.5454545,6.6666665,4.75,6.1999998,6.75,4.25,1.3333334,7.090909,7.4444447,5.8000002,4.25,6.5,6.6666665
2,2024,213,EL,5.16,7.04,6,3.090909,3.0,1.3333334,1.2727273,1.3636364,1.1666666,2.5,1.1,3.25,1.0666667049999998,0.66666669,3.0,2.8888888,1.4,5.5,2.3333333,3.5
2,2024,215,DPP,2.63,6.3699999,1,1.9090909,3.0,1.3333334,8.0,5.5454545,5.1666665,6.0,5.5999999,8.25,6.58333325,2.0,9.0,9.333333,7.0,4.25,9.0,8.833333
2,2024,218,LA,7.87,6.9499998,3,4.6363635,6.25,3.3333333,7.818182,8.363636,9.0,7.25,8.5,4.5,4.3833332,1.3333334,6.5454545,5.6666665,6.1999998,5.25,6.3333335,5.1666665
2,2024,219,ALT,3.33,2.6600001,7,5.181818,4.25,3.5,2.0,2.3636363,2.1666667,3.25,2.3,2.75,1.200000005,1.0,3.2727273,2.5555556,0.80000001,2.5,1.6666666,2.0
2,2024,220,NB,3.66,,1,2.5454545,4.0,1.6666666,8.818182,7.909091,8.0,6.75,8.0,8.333333,7.0,1.0,9.090909,9.1111107,6.5999999,5.3333335,9.0,8.833333
2,2024,221,M,9.27,5.9499998,3,6.3636365,6.0,5.3333335,5.5454545,5.6363635,5.5,4.75,5.8000002,6.5,4.16666675,1.3333334,5.818182,6.5555553,4.75,6.25,5.5,4.6666665
2,2024,222,DD,8.08,7.3899999,1,3.1818182,3.75,2.0,7.5454545,6.7272725,5.6666665,5.75,5.5999999,8.0,6.066666850000001,1.3333334,8.727273,9.0,7.8000002,2.75,8.666667,8.833333
3,2024,301,CDU,18.9,23.700001,4,6.4210525,6.0,4.3333335,6.5789475,6.5789475,6.25,6.1666665,6.3888888,7.1111112,5.3666668,6.375,7.2105265,7.3888888,5.8000002,3.6666667,5.875,5.8571429
